n_ID	s_Trigger_NAME	s_Trigger_TIP	s_Trigger_Fail_Message	s_Trigger_Success_Message
80	Skeleton Position	มันง่ายมากๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
81	Shipwreck Wooden Box	ไม่ต้องหวังว่าจะมีของดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
82	Cooking Pot	กระดูก 1 แท่ง..เฮ้! มันมาจากไหนกัน!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ยังทำไม่เสร็จ...	ท่านรู้สึกว่ามีกลิ่นกำลังโชยมา...
83	Filtering Kettle	นำทะเลแปรสภาพ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
84	Buried Treasure	อาจมีของดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
85	King Tomb	[ก่อนนั้นข้ามีชีวิตอยู่ ตอนนี้ข้าตายแล้ว] \n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
86	Skeleton Treasure Box	อาจมีของดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
87	Seabed Crusader Position	มันง่ายมากๆ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
88	Hell Grass	รักษาการบาดเจ็บจากความเย็น...ที่นี่ใครต้องการกันล่ะ!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
89	Flame Crystal	ผลึกที่ไม่สามารถหายไปด้วยความร้อน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
90	Feedthrough Small Drill	รูปลักษณ์แปลกประหลาด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
91	Broken Magic Array	เรียกสิ่งมีชีวิต แต่อาจจะไม่เชื่อง\n[วิธีใช้: เหยียบขึ้นไป] 		
92	Shoreside Rubbish Pack	ไม่ต้องหวังว่าจะมีของดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	ส่งกลิ่นเหม็น...
93	Hell Pumpkin	รสเผ็ด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
94	Shellfish	หอยลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
95	Rock Face	มันพ่นไฟได้! ระวัง!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
96	Holy Fruit	มันแค่แอ๊ปเปิ้ลเอง!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
97	Snake Hole	เคาะลำต้น\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เดี๋ยวมันกัดนะ!	ในกางเกงของท่านมีพลังสังหารแฝงอยู่!!
98	Paradise Lost Flower	ประสิทธิภาพไม่แน่ชัด\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
99	Ancient Stone	ก็ยังอ่านไม่ออกอยู่ดี\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	จะให้ดูอีกร้อยปีก็ดูไม่ออกหรอก ...	
100	Holy Spring	มีพลังลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
101	Original Sin Bloodstone	ต้นไม้ที่มีกาฝาก\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ขยะแขยง!	
102	Slave Cage	กลิ่นอายป่าไม้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
103	Eden Island Souvenir Box	ไม่ใช่เจ้าหน้าที่ห้ามเปิด!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
104	Holy Fruit Tree	คนในชนเผ่าโตมาด้วยสิ่งนี้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
105	Pure Spice	กินแล้วจะมีแสงบนหัว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ที่ไม่รู้จัก อย่าเด็ดมันล่ะ!	
106	Holiness Flower	ความชอบของหญิงสาว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	อันนั้นไม่ได้เอามากินนะ!	
107	War Warning Station	อย่าจุดไฟมั่วสิ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	อย่าจุดไฟมั่วสิ	
108	Empty Village Fort	ใช้ในการป้องกัน\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	อย่าจุดไฟมั่วดีกว่านะ	
109	Telescope	ทำให้ท่านมองเห็นในระยะไกลได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
110	 Field Guide  Treasure Chest	สะสม Field Guide ของฉากนี้สามารถเปิดได้ และต้องการกุญแจพิเศษ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	กุญแจนี้เหมือนจะไม่ใช่...	
111	Empty Island Landmine	มันจะช่วยให้ท่านบินไปได้ไกล\n[วิธีใช้: เหยียบขึ้นไป] 		
112	Dungeon[Falling Sun] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
113	Dungeon[Poseidon Hall] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
114	Dungeon[Kraken Lair] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
115	Dungeon[Hell Trial] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
116	Dungeon[Skyfire Tower] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
117	Leave Dungeon	[วิธีใช้: สัมผัสแสง] 		
118	Go To[Deep Sea Temple] 1 floor	[วิธีใช้: สัมผัสแสง] 		
119	ไปที่ "Deep Sea Temple" ชั้นที่ 2 จะต้องมีเลเวล 95	[วิธีใช้: สัมผัสแสง] 	เลเวลไม่เพียงพอ!	
120	ไปที่ "Death City Sea"	[วิธีใช้: สัมผัสแสง] 		
121	Original Sin Crystal -[Greed] 	[วิธีใช้: แตะสัมผัส] 		ท่านอยากมีทุกอย่างบนโลก
122	Original Sin Crystal -[Ego] 	[วิธีใช้: แตะสัมผัส] 		ท่านอยากเก่งกว่าใคร
123	Original Sin Crystal -[logic] 	[วิธีใช้: แตะสัมผัส] 		จู่ๆท่านก็หิวขึ้นมาทันที
124	Original Sin Crystal -[Lust] 	[วิธีใช้: แตะสัมผัส] 		ท่านรู้สึกดีกับผู้หญิงข้างๆ
125	Original Sin Crystal -[Rage] 	[วิธีใช้: แตะสัมผัส] 		ในใจของท่านเกิดมีความแค้นบางอย่าง
126	Original Sin Crystal -[Envious] 	[วิธีใช้: แตะสัมผัส] 		ทำไม? ทำไมข้าถึงไม่รับรู้ถึงความสนุก!
127	Original Sin Crystal -[Lazy] 	[วิธีใช้: แตะสัมผัส] 		ท่านรู้สึก...ง่วงนอน...ZZZ...
128	Second Door Protect City Cannon	ใส่ลูกปืนเสร็จแล้ว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
129	Third Door Protect City Cannon	ใส่ลูกปืนเสร็จแล้ว\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
130	Snow Treasure chest	ซ่อนไม่ค่อยดีเท่าไหร่นะ...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนข้าจะติด...	
131	Fishing Tower	ใช้ตก Kraken\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ทุ่นไม่มีการตอบสนอง	ปลาติดแล้ว!
132	Hunter Horn	ไม่ทราบว่าใช้ประโยชน์อะไรได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีประโยชน์ใดๆ...	
133	Kraken Offer Altar	ไม่ให้เจ้าเป็นของบูชายันต์หรอก\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
134	Death altar	ไม่ให้เจ้าเป็นของบูชายันต์หรอก\n[วิธีใช้: เหยียบขึ้นไป] 		
135	SkeletonLandmine	อาจระเบิดได้\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
136	Refugees Bones Pile	คนที่ตายจะมาอยู่ที่นี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	
137	Evil Altar	ไม่ให้เจ้าเป็นของบูชายันต์หรอก\n[วิธีใช้: เหยียบขึ้นไป] 		ท่านรู้สึกว่ามีพลังบางอย่างอยู่ด้านหลัง...
138	Weapon Machine	ใช้ง่าย\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีประโยชน์ใดๆ...	
139	Empty Island Holy Spring 	มีพลังลึกลับ\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ไม่มีอะไรพิเศษ	
140	Cave Bones Pile	คนที่ตายจะมาอยู่ที่นี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	
141	Walled City Tinderbox	ห้ามสูบบุหรี่!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
142	Voodoo altar	ไม่ให้เจ้าเป็นของบูชายันต์หรอก\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		
143	Buried Bones Pile	คนที่ตายจะมาอยู่ที่นี่\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ให้มันพักผ่อนเถอะ!	
144	Thief Lupin Chest	ซ่อนไม่ค่อยดีเท่าไหร่นะ...\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	เหมือนว่าจะค้าง...	
145				ท่านยังมีเรื่องที่ต้องทำบนเกาะนี้ กรุณาไปคุยกับ Siren ก่อน
146	Mystery Spices Flower	มีกลิ่นหอม\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ดอกไม้ริมทาง อย่าเด็ดมันล่ะ	ดอกไม้บ้าน ทำไมถึงมีกลิ่นดอกไม้ป่าได้ล่ะ
147	Secret Station	ในความยากระดับ 2 ดาว และเก็บสะสม Field Guide ครบ สามารถเปิดได้		
148	Dungeon[Supernatural  Arena ] Entrance	[วิธีใช้: ดับเบิ้ลคลิกซ้าย เพื่อเปิดตัวเลือกระดับความยาก] 		
149	Scene Sketch	ได้รับชิ้นส่วน Field Guide ของฉากนี้ สามารถใช้ฟังก์ชั่นนี้ได้ทุกๆ 23 ชั่วโมง\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 		ท่านได้รับ Field Guide 1 ชิ้น!
150	Weapon Box No.1	ห้ามสูบบุหรี่!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
151	Weapon Box No.2	ห้ามสูบบุหรี่!\n[วิธีใช้: ดับเบิ้ลคลิกซ้าย] 	ถึงจะเป็นผู้กล้าแต่ก็ไม่ควรหยิบของคนอื่นไปทั่วนะ!	
152	 Port Royal 	ไม่จำกัดเลเวล		
153	 Prison Exile Island 	ไม่จำกัดเลเวล		
154	 Spice Paradise Island 	[เข้าได้เมื่อ: Lv.25] 	เลเวลของท่านไม่เพียงพอ	
155	 Slave Market Island 	[เข้าได้เมื่อ: Lv.45] 	เลเวลของท่านไม่เพียงพอ	
156	 Evil Port 	[เข้าได้เมื่อ:  Lv.60] 	เลเวลของท่านไม่เพียงพอ	
157	 Ocean Walled City 	[เข้าได้เมื่อ: Lv.70] 	เลเวลของท่านไม่เพียงพอ	
158	Voodoo Island	[เข้าได้เมื่อ: Lv.81] 	เลเวลของท่านไม่เพียงพอ	
159	Silver Harbour	[เข้าได้เมื่อ: Lv.86] 	เลเวลของท่านไม่เพียงพอ	
160	Death City Sea	[เข้าได้เมื่อ: Lv.92] 	เลเวลของท่านไม่เพียงพอ	
161	Hell Volcanic Island	(เลเวลที่ต้องการ: 100)	เลเวลของท่านไม่เพียงพอ	
162	Drake empty Walled	[เข้าได้เมื่อ: Lv.112] 	เลเวลของท่านไม่เพียงพอ	
163	Lost Eden	[เข้าได้เมื่อ: Lv.111] 	เลเวลของท่านไม่เพียงพอ	
